year,decade,song,artist,weeks_at_no1_this_year
1958,1950,It's All In The Game,Tommy Edwards,6
1959,1950,Mack The Knife,Bobby Darin,9
1960,1960,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,9
1961,1960,Tossin' And Turnin',Bobby Lewis,7
1962,1960,I Can't Stop Loving You,Ray Charles,5
1963,1960,Sugar Shack,Jimmy Gilmer And The Fireballs,5
1964,1960,I Want To Hold Your Hand,The Beatles,7
1965,1960,Yesterday,The Beatles,4
1966,1960,The Ballad Of The Green Berets,SSgt Barry Sadler,5
1967,1960,I'm A Believer,The Monkees,6
1968,1960,Hey Jude,The Beatles,9
1969,1960,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,6
1970,1970,Bridge Over Troubled Water,Simon & Garfunkel,6
1971,1970,Joy To The World,Three Dog Night,6
1972,1970,The First Time Ever I Saw Your Face,Roberta Flack,6
1973,1970,Killing Me Softly With His Song,Roberta Flack,5
1974,1970,Seasons In The Sun,Terry Jacks,3
1975,1970,Love Will Keep Us Together,The Captain & Tennille,4
1976,1970,Tonight's The Night (Gonna Be Alright),Rod Stewart,7
1977,1970,You Light Up My Life,Debby Boone,10
1978,1970,Night Fever,Bee Gees,8
1979,1970,My Sharona,The Knack,6
1980,1980,Call Me,Blondie,6
1981,1980,Endless Love,Diana Ross & Lionel Richie,9
1982,1980,I Love Rock 'N Roll,Joan Jett & the Blackhearts,7
1983,1980,Every Breath You Take,The Police,8
1984,1980,When Doves Cry,Prince,5
1985,1980,We Are The World,USA For Africa,4
1986,1980,That's What Friends Are For,Dionne & Friends,4
1987,1980,Livin' On A Prayer,Bon Jovi,4
1988,1980,Roll With It,Steve Winwood,4
1989,1980,Miss You Much,Janet Jackson,4
1990,1990,Nothing Compares 2 U,Sinead O'Connor,4
1991,1990,(Everything I Do) I Do It For You,Bryan Adams,7
1992,1990,"End Of The Road (From ""Boomerang"")",Boyz II Men,13
1993,1990,I Will Always Love You,Whitney Houston,9
1994,1990,I'll Make Love To You,Boyz II Men,14
1995,1990,Fantasy,Mariah Carey,8
1996,1990,Macarena (Bayside Boys Mix),Los Del Rio,14
1997,1990,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,12
1998,1990,The Boy Is Mine,Brandy & Monica,13
1999,1990,Smooth,Santana Featuring Rob Thomas,10
2000,2000,Maria Maria,Santana Featuring The Product G&B,10
2001,2000,All For You,Janet,7
2002,2000,Foolish,Ashanti,10
2003,2000,In Da Club,50 Cent,9
2004,2000,Yeah!,Usher Featuring Lil Jon & Ludacris,12
2005,2000,We Belong Together,Mariah Carey,14
2006,2000,SexyBack,Justin Timberlake,7
2007,2000,Umbrella,Rihanna Featuring Jay-Z,7
2008,2000,Low,Flo Rida Featuring T-Pain,10
2009,2000,I Gotta Feeling,The Black Eyed Peas,14
2010,2010,TiK ToK,Ke$ha,9
2011,2010,We Found Love,Rihanna Featuring Calvin Harris,8
2012,2010,Call Me Maybe,Carly Rae Jepsen,9
2013,2010,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12
2014,2010,Happy,Pharrell Williams,10
2015,2010,Uptown Funk!,Mark Ronson Featuring Bruno Mars,14
2016,2010,Closer,The Chainsmokers Featuring Halsey,12
2017,2010,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,16
2018,2010,God's Plan,Drake,11
2019,2010,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,19
2020,2020,The Box,Roddy Ricch,11
2021,2020,Butter,BTS,10
